listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,property_type,room_type,accommodates,bedrooms,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,TV,Internet,Shampoo,Suitable for Events,Washer / Dryer,Pool,Hair Dryer,Smoke Detector,Cable TV,Laptop Friendly Workspace,Cat(s),Doorman,Washer,Heating,Breakfast,Safety Card,Hot Tub,Pets live on this property,Free Parking on Premises,Dryer,Essentials,Iron,Wireless Internet,Dog(s),Pets Allowed,Buzzer/Wireless Intercom,Gym,24-Hour Check-in,Fire Extinguisher,Hangers,Elevator in Building,Other pet(s),Lock on Bedroom Door,Wheelchair Accessible,Indoor Fireplace,Smoking Allowed,Kitchen,First Aid Kit,Air Conditioning,Family/Kid Friendly,Carbon Monoxide Detector
6958436,Historic Downtown Artist Loft,11653525,2014.1.26,"Seattle, Washington, United States",within a few hours,100%,f,1,t,t,Belltown,Seattle,Loft,Entire place,4,1,$225.00 ,90,8,5,9,9,10,7,f,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1
1520501,Io House (bunk 2L) - SLU walkable ,1243056,2011.10.3,"Seattle, Washington, United States",within an hour,90%,f,37,t,t,Capitol Hill,Seattle,House,Shared room,1,1,$49.00 ,70,10,8,9,9,10,7,f,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8754180,Viewridge Home,3526468,2012.9.10,"Seattle, Washington, United States",within a day,80%,f,1,t,f,View Ridge,Seattle,House,Entire place,8,3,$175.00 ,60,7,6,10,10,10,7,f,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
8863714,Down Town Madison Park Apartment,27499395,2015.2.9,"Chelan, Washington, United States",within an hour,100%,f,1,t,f,Madison Park,Seattle,Apartment,Entire place,4,1,$95.00 ,80,7,6,10,10,10,7,f,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
4251426,Harbor Steps- Water Views 16th Flr!,430709,2011.3.8,"Seattle, Washington, United States",within a day,88%,f,36,t,t,Central Business District,Seattle,Apartment,Entire place,6,2,$245.00 ,73,9,10,10,10,10,7,f,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1
7839723,Creekside Contemporary Apartment,1274285,2011.10.10,"Seattle, Washington, United States",within an hour,89%,f,3,t,t,Pinehurst,Seattle,Apartment,Entire place,8,2,$150.00 ,80,10,10,8,8,6,8,f,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
9157232,Private rm in U-Dist,724729,2011.6.20,"Seattle, Washington, United States",within a few hours,100%,f,4,t,t,Ravenna,Seattle,House,Private room,1,1,$50.00 ,80,8,8,8,10,6,8,f,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1263470,Sweet Seattle Urban Homestead 1 Bdr,4193,2008.11.10,"Seattle, Washington, United States",within a few hours,88%,f,4,t,t,Dunlap,Seattle,House,Entire place,2,1,$100.00 ,77,8,8,9,8,7,8,f,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
190984,Home in Hillman City,923095,2011.8.4,"Seattle, Washington, United States",within a few hours,100%,f,2,t,t,Columbia City,Seattle,Apartment,Entire place,2,1,$110.00 ,87,9,9,9,9,7,8,f,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
23356,3bd 2bt great bargain  sleep 6-10,91286,2010.3.11,"Seattle, Washington, United States",a few days or more,0%,f,2,t,f,Holly Park,Seattle,House,Entire place,10,3,$215.00 ,83,8,9,10,9,7,8,f,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
716829,Shack in the back in Seattle,62386,2009.12.12,"Seattle, Washington, United States",within an hour,100%,f,4,t,t,Greenwood,Seattle,Chalet,Private room,1,1,$62.00 ,71,10,6,6,4,8,8,f,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6545246,Io Annex (bunk 1L) - SLU walkable,1243056,2011.10.3,"Seattle, Washington, United States",within an hour,90%,f,37,t,t,Capitol Hill,Seattle,House,Shared room,1,1,$55.00 ,80,10,8,4,6,8,8,f,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
